Anio,Mes,Lluvia_Total_mm,Temp_Max_Mes,Total_Focos_Calor,Intensidad_Total_FRP
2016,6,210.5,19.7,73,327.1
2016,7,27.5,21.9,54,318.54
2016,8,72.5,25.5,288,1694.41
2016,9,12.3,25.8,261,1613.69
2016,10,235.5,26.9,17,81.09
2016,11,130.8,29.9,8,38.16
2016,12,210.5,31.7,2,2.96
2017,1,179.5,33.7,4,6.05
2017,2,105.5,33.4,11,42.21
2017,3,150.8,31.6,9,82.19
2017,4,547.5,25.6,3,15.98
2017,5,207.5,23.2,0,0
2017,6,3.5,21.7,4,12.39
2017,7,10.3,26,209,1453.21
2017,8,82.5,26,221,1374.89
2017,9,93.3,26.5,35,222.86
2017,10,80,27.5,15,101.18
2017,11,124,30.1,51,367.41
2017,12,26,35.4,188,1758.71
2018,1,327.8,33.1,95,929.13
2018,2,51.8,33.5,9,60.53
2018,3,245.8,31.4,8,32.44
2018,4,21.9,30.8,0,0
2018,5,236.4,25.7,1,0.16
2018,6,29,20.6,3,10.17
2018,7,16.6,19.8,9,47.87
2018,8,15.7,22.8,285,2356.13
2018,9,85.2,28.3,142,875.27
2018,10,164.6,28.5,22,143.25
2018,11,298.4,29.8,0,0
2018,12,252.2,32.7,0,0
2019,1,552.4,33.1,1,5.02
2019,2,155,32.5,15,77.7
2019,3,97.4,29.7,23,154.95
2019,4,121.8,28.6,17,92.36
2019,5,230.4,24,2,12.05
2019,6,9,24.5,25,103.57
2019,7,57,21.1,147,1297.68
2019,8,53.6,24.3,431,3137.45
2019,9,10,27,223,1448.31
2019,10,151.6,28.3,79,534.09
2019,11,280,31.9,6,46.38
2019,12,104,32.6,15,103.27
2020,1,256,33.4,49,261.02
2020,2,224.2,32,28,244.43
2020,3,13.6,34.7,353,3129.11
2020,4,54,29.6,469,3499.29
2020,5,16.8,25.6,210,1740.14
2020,6,42,24.6,424,2680.13
2020,7,17.6,21.8,230,1416.9
2020,8,2.2,28.4,1518,13395.22
2020,9,7.4,28.5,725,6524.47
2020,10,58.2,32,521,9085.43
2020,11,161,33.2,143,1113.43
2020,12,53,33.6,13,70.82
2021,1,131.8,34.5,19,135.22
2021,2,33.8,32.9,3,13.85
2021,3,109.8,32,18,126.22
2021,4,90.6,28.3,4,39.76
2021,5,26.6,24.1,8,63.35
2021,6,90.4,21,5,22.47
2021,7,0.6,23.2,89,657.49
2021,8,4.2,26.1,206,2431.71
2021,9,106.2,28.4,64,516.45
2021,10,85.6,28.2,32,321.74
2021,11,343.8,30,6,21.51
2021,12,49.8,33.7,26,197.39
2022,1,5.8,38.7,887,10093.36
2022,2,13.4,37.6,1185,14806.55
2022,3,193.8,31.2,26,381.64
2022,4,240.8,26.2,1,0.66
2022,5,29.2,21.8,2,2.95
2022,6,43.4,18.8,0,0
2022,7,30.6,25.1,1,0.33
2022,8,57.2,24.3,22,106.62
2022,9,38.8,25.6,81,606.34
2022,10,124.8,28.4,13,58.4
2022,11,56.4,31.4,19,160.72
2022,12,73.6,35.5,37,241.79
2023,1,71.4,37.3,45,431.76
2023,2,74.2,36.5,368,3135.77
2023,3,206,33.8,335,2726.08
2023,4,106,27.7,6,15.22
2023,5,33.6,24.6,3,20.04
2023,6,14.8,23.6,7,33.48
2023,7,1.2,24.8,17,102.55
2023,8,14.2,28,53,564.24
2023,9,111,26.6,14,54.65
2023,10,121.6,28.9,25,232.49
2023,11,187.7,29.9,4,43.15
2023,12,142.6,31.6,0,0
2024,1,110.4,32.6,4,27.79
2024,2,232.9,34.7,35,445.02
2024,3,254.8,33,4,16.92
2024,4,178.2,28.5,5,41.71
2024,5,44.4,20.8,4,18.78
2024,6,0,25.1,74,397.05
2024,7,9.5,21.3,133,900.55
2024,8,99.3,23.3,284,1921.48
2024,9,54.4,27,152,1219.73
2024,10,38,29.2,69,435.79
2024,11,1,30.8,30,150.04
2024,12,68.4,31.1,4,15.89
2025,1,12.2,35.9,131,967.17
2025,2,79.6,38.3,457,4066.64
2025,3,96.8,34.5,681,8256.02
2025,4,51,26.2,38,221.3
2025,5,365.6,25,12,47.79
2025,6,169.8,18.3,8,58.13
2025,7,48.8,22.7,14,137.82
2025,8,89,23.5,61,325.79
2025,9,173.4,24.9,20,139.65
2025,10,273.4,27.1,6,17.59
2025,11,46.2,29.4,4,60.09
2025,12,491.6,31.4,1,3.59
2026,1,117.4,32.9,4,39.37
2026,2,12.4,36.6,38,367.57
2026,3,181.4,32.5,19,99.12
