latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-22.18603,-63.64778,317.6,0.49,0.65,2026-04-01,0444,SNPP,SNPP,n,2.0NRT,290.73,1.96,N
-26.46986,-58.64312,316.25,0.4,0.45,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.82,1.2,N
-26.13013,-61.23761,337.9,0.58,0.52,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.99,4.23,N
-26.12885,-61.2434,307.32,0.58,0.52,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.04,4.23,N
-26.13363,-61.24472,329.23,0.58,0.52,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.57,4.48,N
-26.13491,-61.2389,340.77,0.58,0.52,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.57,4.48,N
-26.13969,-61.24022,330.7,0.58,0.52,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.07,4.48,N
-26.13841,-61.24601,310.82,0.58,0.52,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,294.83,4.48,N
-26.59947,-61.00053,309.6,0.55,0.51,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.56,2.47,N
-26.60798,-62.22485,325.12,0.32,0.55,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.51,1.78,N
-26.60558,-62.22495,323.06,0.32,0.55,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.81,1.68,N
-26.6713,-62.43016,321.44,0.33,0.55,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.6,1.2,N
-26.46905,-58.64717,303.81,0.4,0.45,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.61,1.2,N
-26.67205,-62.42682,317.84,0.33,0.55,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.56,1.2,N
-26.67636,-62.43163,305.85,0.33,0.55,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,294.9,0.54,N
-26.67245,-62.43032,327.93,0.33,0.55,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.86,1.47,N
-26.67323,-62.42699,318.46,0.33,0.55,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.43,1.47,N
-27.06895,-61.10166,305.96,0.54,0.51,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.82,1.93,N
-27.01001,-61.41901,320.76,0.57,0.52,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,296.07,3.65,N
-27.01126,-61.41327,311.02,0.57,0.52,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.15,1.75,N
-28.01667,-56.42584,303.76,0.45,0.39,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.15,0.4,N
-27.06982,-61.10329,310.14,0.54,0.51,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.77,1.75,N
-27.01008,-61.41401,323.9,0.57,0.52,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.4,2.72,N
-27.00879,-61.41975,310.36,0.57,0.52,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.77,2.72,N
-27.0862,-61.41102,312.73,0.57,0.52,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.68,1.59,N
-27.08747,-61.4053,306.04,0.57,0.52,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295,1.12,N
-27.33865,-60.37344,337.1,0.49,0.48,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.52,3.65,N
-27.33966,-60.37515,333.9,0.49,0.48,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.16,4.61,N
-28.78961,-57.69568,331.82,0.5,0.41,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,294,10.49,N
-28.79059,-57.69059,349.4,0.5,0.41,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.89,10.49,N
-28.79432,-57.69151,336.58,0.5,0.41,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,296.81,10.49,N
-28.7953,-57.68642,328.43,0.5,0.41,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.64,9.49,N
-28.79334,-57.6966,308.52,0.5,0.41,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.08,10.49,N
-29.02873,-57.50661,310.48,0.48,0.4,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.13,0.89,N
-29.1227,-58.70342,308.06,0.55,0.43,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.76,1.16,N
-29.12495,-58.70535,312.34,0.55,0.43,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.38,1.94,N
-29.01112,-61.26655,305.85,0.51,0.49,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.48,0.9,N
-29.51316,-59.75261,317.81,0.41,0.45,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.86,1.22,N
-29.31251,-61.47607,326.37,0.51,0.5,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,296.4,3.49,N
-29.81849,-63.43635,322.71,0.32,0.55,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.64,1.83,N
-29.82349,-63.43792,331.29,0.32,0.55,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.97,1.83,N
-31.6532,-60.80733,311.3,0.42,0.46,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,294.21,1.23,N
-31.65416,-60.80287,308.3,0.42,0.45,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,294.11,1.23,N
-25.41358,-58.17049,304.95,0.4,0.44,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,292.5,0.51,N
-25.79085,-58.97758,310.73,0.43,0.46,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.78,1.05,N
-25.79175,-58.97326,307.92,0.43,0.46,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.88,1.05,N
-25.79417,-58.98297,338.92,0.43,0.46,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,294.96,5.48,N
-25.79507,-58.97863,367,0.43,0.46,2026-04-01,0446,SNPP,SNPP,h,2.0NRT,295.49,11.4,N
-25.79596,-58.9743,348.84,0.43,0.46,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.34,11.4,N
-25.79838,-58.98404,312.93,0.43,0.46,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,293.72,5.48,N
-25.66785,-61.37631,311.9,0.6,0.53,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.57,2.95,N
-25.67271,-61.37764,338.79,0.6,0.53,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,296.96,2.95,N
-25.46463,-62.30742,318.21,0.35,0.56,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,296.29,0.91,N
-25.46542,-62.30397,305.78,0.35,0.56,2026-04-01,0446,SNPP,SNPP,n,2.0NRT,295.76,0.91,N
